r,X_r,Conn_r,euler_rips_r
6.71,13.53968253968254,14,1226
6.73,13.873015873015873,14,1260
6.81,14.047619047619047,14,1279
6.95,14.515873015873016,14,1327
6.97,14.761904761904763,14,1353
7.0,14.825396825396826,14,1360
7.02,14.992063492063492,14,1378
7.08,17.047619047619047,14,1591
7.16,17.41269841269841,14,1630
7.22,18.023809523809526,14,1696
7.29,18.08730158730159,14,1703
7.39,18.38095238095238,14,1735
7.44,18.857142857142858,14,1782
7.5,20.03174603174603,13,1904
7.52,20.26984126984127,13,1928
7.57,20.634920634920636,13,1967
7.64,20.88095238095238,13,1992
7.65,21.063492063492063,13,2013
7.77,21.49206349206349,13,2058
7.78,21.57936507936508,13,2068
7.82,21.928571428571427,13,2107
7.83,21.976190476190474,13,2112
7.91,26.42063492063492,12,2590
8.02,26.706349206349206,12,2623
8.07,27.103174603174605,12,2667
8.08,27.333333333333332,12,2692
8.14,27.571428571428573,12,2719
8.21,28.055555555555557,11,2770
8.25,28.3015873015873,11,2798
8.28,28.73015873015873,11,2846
8.33,28.865079365079364,11,2860
8.39,29.46031746031746,11,2926
8.49,29.8015873015873,11,2964
8.5,30.674603174603174,11,3060
8.52,31.063492063492063,11,3104
8.55,31.261904761904763,11,3127
8.56,32.36507936507937,11,3251
8.61,32.58730158730159,11,3276
8.64,32.682539682539684,11,3287
8.74,32.92857142857143,11,3315
8.75,33.05555555555556,10,3328
8.85,33.96825396825397,10,3432
8.87,34.38095238095238,10,3478
8.91,34.801587301587304,10,3526
8.95,35.07142857142857,10,3557
9.0,35.15079365079365,10,3565
9.02,39.27777777777778,7,4023
9.06,39.698412698412696,7,4071
9.13,41.22222222222222,7,4244
9.18,41.62698412698413,7,4291
9.2,42.86507936507937,7,4431
9.22,43.87301587301587,7,4547
9.31,44.26984126984127,7,4593
9.35,44.38095238095238,7,4604
9.4,45.01587301587302,7,4675
9.44,45.72222222222222,7,4758
9.49,45.87301587301587,7,4776
9.5,46.07142857142857,7,4799
9.52,46.25396825396825,7,4820
9.56,46.698412698412696,7,4871
9.61,47.333333333333336,7,4941
9.62,47.88095238095238,7,5005
9.66,48.61904761904762,7,5090
9.71,48.888888888888886,7,5121
9.83,49.317460317460316,6,5170
9.85,49.98412698412698,6,5247
9.87,50.698412698412696,6,5330
9.93,51.19047619047619,6,5387
10.0,53.63492063492063,5,5653
10.02,54.15079365079365,5,5713
10.05,54.75396825396825,5,5781
10.12,55.523809523809526,5,5868
10.13,55.976190476190474,5,5920
10.2,56.53174603174603,5,5983
10.26,56.666666666666664,5,5998
10.3,57.12698412698413,5,6048
10.31,61.72222222222222,4,6574
10.41,63.142857142857146,4,6741
10.45,63.41269841269841,4,6773
10.5,63.53174603174603,4,6787
10.52,63.65079365079365,4,6801
10.55,64.27777777777777,4,6874
10.6,64.88095238095238,4,6944
10.61,69.53174603174604,3,7477
10.64,69.65873015873017,3,7492
10.69,69.78571428571429,3,7507
10.71,70.98412698412699,3,7646
10.74,71.17460317460318,3,7668
10.78,72.07936507936508,3,7773
10.8,72.65873015873017,3,7839
10.82,73.4047619047619,3,7924
10.93,73.53968253968254,3,7940
10.97,74.71428571428571,3,8077
11.0,75.38095238095238,3,8155
11.02,76.0079365079365,3,8229
11.05,76.83333333333333,3,8326
11.07,76.95238095238095,3,8340
11.11,79.23809523809524,3,8608
11.19,88.5079365079365,3,9686
11.24,88.98412698412699,3,9742
11.29,90.03174603174604,3,9866
11.32,90.2063492063492,3,9887
11.34,91.23809523809524,3,10009
11.41,91.88095238095238,3,10084
11.42,92.33333333333333,3,10137
11.43,92.7063492063492,3,10181
11.5,92.77777777777777,3,10189
11.52,92.86507936507937,3,10199
11.55,94.97619047619048,3,10449
11.6,95.58730158730158,3,10521
11.63,96.12698412698413,3,10584
11.67,97.07142857142857,3,10697
11.68,97.21428571428571,3,10714
11.71,98.57936507936508,3,10876
11.72,98.75396825396825,3,10897
11.77,99.27777777777777,3,10958
11.86,99.42857142857143,3,10976
11.89,99.84126984126983,3,11025
11.93,101.11111111111111,3,11176
12.0,101.1984126984127,3,11185
12.02,101.3015873015873,3,11197
12.03,103.46825396825396,3,11454
12.05,103.95238095238095,3,11511
12.09,104.72222222222223,3,11600
12.1,104.83333333333333,3,11613
12.11,105.2063492063492,3,11657
12.17,105.48412698412699,3,11690
12.18,106.73015873015873,3,11839
12.21,107.26190476190476,3,11902
12.26,107.42063492063492,3,11921
12.3,107.85714285714286,3,11973
12.35,108.16666666666667,3,12010
12.37,108.31746031746032,3,12028
12.38,109.30952380952381,3,12146
12.5,118.22222222222223,2,13195
12.51,118.87301587301587,2,13273
12.53,120.27777777777777,2,13441
12.54,121.89682539682539,2,13633
12.59,122.41269841269842,2,13693
12.62,122.6984126984127,2,13727
12.65,122.89682539682539,2,13751
